id,latitude,longitude,neighbourhood_cleansed,accommodates,bedrooms,beds,bathrooms,review_scores_rating,number_of_reviews,host_listings_count,amenities_count,host_tenure_days,has_picture,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,occupancy_rate_mean,target_price
758249585153279048,42.30159,-71.07647,Dorchester,10,4.0,6.0,3.0,4.71,31,1.0,48,1077.0,1,True,False,False,False,0.3150684931506849,444.0
758653948795940077,42.3460970337773,-71.07256090149903,South End,8,3.0,5.0,1.0,4.98,153,1.0,46,4532.0,1,True,False,False,False,0.25205479452054796,497.0
759893468198280917,42.3511858,-71.06401699999999,Downtown,4,2.0,2.0,2.0,,0,5084.0,32,3233.0,1,True,False,False,False,0.8136986301369863,416.0
759894024434692037,42.347766,-71.13362289999999,Allston,2,1.0,,,,0,5084.0,33,3233.0,1,True,False,False,False,0.6356164383561644,
760402775627338023,42.324499935324376,-71.0821790504146,Roxbury,2,1.0,2.0,1.0,4.77,30,1.0,34,1072.0,1,False,False,True,False,0.0027397260273972603,148.0
761019874476699080,42.3846216,-71.00165059999999,East Boston,6,2.0,3.0,1.0,4.84,68,1.0,47,2539.0,1,True,False,False,False,0.1095890410958904,193.0
761353275730186662,42.359547,-71.0634099,Beacon Hill,4,2.0,2.0,1.0,3.0,1,5084.0,29,3233.0,1,True,False,False,False,0.7726027397260274,329.0
761463490529718145,42.35931,-71.06947,Beacon Hill,2,2.0,2.0,1.0,4.67,72,130.0,40,610.0,1,True,False,False,False,0.6383561643835617,363.0
762301524209790810,42.3775,-71.06687,Charlestown,5,3.0,3.0,1.5,4.97,59,4.0,42,4490.0,1,True,False,False,False,0.1589041095890411,435.0
762385151964696601,42.31346,-71.1084,Jamaica Plain,1,1.0,1.0,1.0,4.86,7,1.0,45,4439.0,1,False,False,True,False,0.10684931506849316,80.0
762582023948839729,42.279479136551686,-71.15932762726267,West Roxbury,2,1.0,1.0,1.0,4.94,53,21.0,55,3466.0,1,False,False,True,False,0.27123287671232876,86.0
763010832921670696,42.34988,-71.04433,South Boston Waterfront,5,2.0,2.0,2.0,5.0,1,184.0,37,4069.0,1,True,False,False,False,0.0273972602739726,451.0
763072543838886407,42.33977,-71.07719,South End,2,0.0,1.0,1.0,4.76,62,19.0,40,1837.0,1,True,False,False,False,0.6027397260273972,212.0
764378872296800230,42.36716,-71.03568,East Boston,2,0.0,1.0,1.0,4.91,120,10.0,44,3268.0,1,True,False,False,False,0.7671232876712328,169.0
765006355721890182,42.3511858,-71.06401699999999,Downtown,2,1.0,,,,0,5084.0,33,3233.0,1,True,False,False,False,0.10136986301369863,
765006895101554698,42.359547,-71.0634099,Beacon Hill,4,2.0,2.0,1.0,,0,5084.0,29,3233.0,1,True,False,False,False,0.22465753424657534,334.0
765120412685249786,42.29318,-71.06116,Dorchester,1,1.0,1.0,1.0,4.71,7,3.0,39,3483.0,1,False,False,True,False,0.46301369863013697,70.0
765269116404294925,42.34450252864977,-71.08865586441802,Fenway,2,1.0,1.0,1.0,4.92,24,79.0,28,5216.0,1,True,False,False,False,0.8958904109589041,213.0
765841775181131141,42.3511858,-71.06401699999999,Downtown,2,1.0,1.0,1.0,,0,5084.0,31,3233.0,1,True,False,False,False,0.3506849315068493,315.0
765842269075124283,42.359547,-71.0634099,Beacon Hill,4,2.0,2.0,1.0,,0,5084.0,29,3233.0,1,True,False,False,False,0.043835616438356165,344.0
766443317316185027,42.3527433,-71.12187410000001,Allston,2,1.0,1.0,1.0,,0,5084.0,31,3233.0,1,True,False,False,False,0.24383561643835616,237.0
767351808354008385,42.3527433,-71.12187410000001,Allston,2,1.0,1.0,1.0,5.0,1,5084.0,31,3233.0,1,True,False,False,False,0.16712328767123288,253.0
767352123386196599,42.3527433,-71.12187410000001,Allston,2,1.0,1.0,1.0,,0,5084.0,31,3233.0,1,True,False,False,False,0.2684931506849315,254.0
768023699088310062,42.28212,-71.13348,Roslindale,4,1.0,2.0,1.0,4.93,112,2.0,60,3434.0,1,True,False,False,False,0.07397260273972603,248.0
768249035945598810,42.296516843531954,-71.08035517801416,Dorchester,8,4.0,,,5.0,5,1.0,52,1063.0,1,True,False,False,False,1.0,
769614253675332089,42.3585533,-71.06614259999999,Beacon Hill,8,4.0,4.0,4.5,5.0,6,3.0,67,784.0,1,True,False,False,False,0.2191780821917808,1000.0
770557500197301585,42.35936740577958,-71.06949858833637,Beacon Hill,2,1.0,1.0,1.0,4.83,6,280.0,28,1821.0,1,True,False,False,False,0.4,122.0
771117597362932880,42.36667,-71.05215,North End,2,0.0,1.0,1.0,4.89,141,35.0,36,4960.0,1,True,False,False,False,0.09041095890410959,221.0
771690696993014228,42.35249943901865,-71.0642236854983,Downtown,8,3.0,,,5.0,9,42.0,78,1232.0,1,True,False,False,False,1.0,
771713680617274753,42.34822,-71.0692,Bay Village,8,4.0,5.0,3.5,5.0,21,4.0,55,4810.0,1,True,False,False,False,0.2273972602739726,1558.0
772147697509231116,42.36017967439299,-71.06712181856926,Beacon Hill,3,1.0,1.0,1.0,5.0,4,280.0,27,1821.0,1,True,False,False,False,0.4,123.0
772245719782019151,42.27013,-71.10741,Hyde Park,13,3.0,6.0,2.5,4.91,137,4.0,66,4095.0,1,True,False,False,False,0.2821917808219178,283.0
772490458038747328,42.358534336470825,-71.06795589245175,Beacon Hill,3,2.0,2.0,1.0,4.25,4,280.0,30,1821.0,1,True,False,False,False,0.3041095890410959,129.0
773990108250892522,42.27713,-71.08175,Mattapan,1,1.0,1.0,1.0,4.86,7,5.0,50,3975.0,1,False,False,True,False,0.2273972602739726,26.0
773994151683464256,42.35112,-71.0584,Leather District,3,1.0,1.0,1.0,,0,102.0,28,2861.0,1,True,False,False,False,0.0,299.0
774611525121651574,42.32428,-71.07315,Roxbury,6,2.0,2.0,1.0,4.97,164,1.0,52,3383.0,1,True,False,False,False,0.1589041095890411,327.0
